date	Channel 1
08-12-2014 210923	8.9
08-12-2014 211023	9.1
08-12-2014 211123	8.7
08-12-2014 211223	9.0
08-12-2014 211323	8.9
08-12-2014 211423	8.7
08-12-2014 211523	9.1
08-12-2014 211623	8.8
08-12-2014 211723	9.0
08-12-2014 211823	8.9
08-12-2014 211923	8.7
08-12-2014 212023	9.0
08-12-2014 212124	8.7
08-12-2014 212224	8.7
08-12-2014 212324	8.6
08-12-2014 212424	8.8
08-12-2014 212524	8.7
08-12-2014 212624	8.9
08-12-2014 212724	8.8
08-12-2014 212824	8.7
08-12-2014 212924	9.0
08-12-2014 213024	8.7
08-12-2014 213124	8.6
08-12-2014 213224	8.7
08-12-2014 213324	8.7
08-12-2014 213424	8.7
08-12-2014 213524	8.6
08-12-2014 213624	8.7
08-12-2014 213724	8.6
08-12-2014 213825	8.6
08-12-2014 213925	8.8
08-12-2014 214025	8.7
08-12-2014 214125	8.5
08-12-2014 214225	8.6
08-12-2014 214325	8.6
08-12-2014 214425	8.4
08-12-2014 214525	8.4
08-12-2014 214625	8.6
08-12-2014 214725	8.6
08-12-2014 214825	8.6
08-12-2014 214925	8.6
08-12-2014 215025	8.4
08-12-2014 215125	8.5
08-12-2014 215225	8.6
08-12-2014 215325	8.5
08-12-2014 215426	8.3
08-12-2014 215526	8.6
08-12-2014 215626	8.3
08-12-2014 215726	8.4
08-12-2014 215826	8.6
08-12-2014 215926	8.2
08-12-2014 220026	8.5
08-12-2014 220126	8.4
08-12-2014 220226	8.3
08-12-2014 220326	8.3
08-12-2014 220426	8.2
08-12-2014 220526	8.4
08-12-2014 220626	8.5
08-12-2014 220726	8.2
08-12-2014 220826	8.7
08-12-2014 220926	8.3
08-12-2014 221026	8.2
08-12-2014 221127	8.3
08-12-2014 221227	8.4
08-12-2014 221327	8.5
08-12-2014 221427	8.3
08-12-2014 221527	8.3
08-12-2014 221627	8.2
08-12-2014 221727	8.2
08-12-2014 221827	8.2
08-12-2014 221927	8.1
08-12-2014 222027	8.1
08-12-2014 222127	8.3
08-12-2014 222227	8.5
08-12-2014 222327	8.2
08-12-2014 222427	8.2
08-12-2014 222527	8.2
08-12-2014 222627	8.4
08-12-2014 222728	8.3
08-12-2014 222828	8.1
08-12-2014 222928	8.1
08-12-2014 223028	8.2
08-12-2014 223128	7.9
08-12-2014 223228	8.2
08-12-2014 223328	8.2
08-12-2014 223428	8.2
08-12-2014 223528	8.2
08-12-2014 223628	8.2
08-12-2014 223728	8.2
08-12-2014 223828	8.2
08-12-2014 223928	8.1
08-12-2014 224028	8.0
08-12-2014 224128	8.1
08-12-2014 224228	8.1
08-12-2014 224328	8.2
